1,Old Kent Road,60,2,10,30,90,160,50
2,Whitechapel Road,60,4,20,60,180,320,50
3,The Angel Islington,100,6,30,90,270,400,50
4,Euston Road,100,6,30,90,270,400,50
5,Pentonville Road,120,8,40,100,300,450,50
6,Pall Mall,140,10,50,150,450,625,100
7,Whitehall,140,10,50,150,450,625,100
8,Northumberland Avenue,160,12,60,180,500,700,100
9,Bow Street,180,14,70,200,550,750,100
10,Marlborough Street,180,14,70,200,550,750,100
11,Vine Street,200,16,80,220,600,800,100
12,The Strand,220,18,90,250,700,875,150
13,Fleet Street,220,18,90,250,700,875,150
14,Trafalgar Square,240,20,100,300,750,925,150
15,Leicester Square,260,22,110,330,800,975,150
16,Coventry Street,260,22,110,330,800,975,150
17,Picadilly,280,22,120,360,850,1025,150
18,Regent Street,300,26,130,390,900,1100,200
19,Oxford Street,300,26,130,390,900,1100,200
20,Bond Street,320,28,150,450,1000,1200,200
21,Park Lane,350,35,175,500,1100,1300,200
22,Mayfair,400,50,200,600,1400,1700,200
